date,abstract,rating,workLifeBalance,cultureAndValues,careerOpportunities,compensationAndBenefits,seniorManagement,authorJobTitle,tenure,pro,con
"January 31, 2019",Young Technical Leader,4.0,2.0,3.0,5.0,4.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,You get to learn in and outs of Telecom industry.   High paced growth.,Do not expect a very good work life balance.
"September 27, 2018",YTL Program,4.0,3.0,2.0,5.0,3.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,"Amazing Growth, Good Exposure, Good Projects",Management has lost it's track of the program
"August 15, 2018",Head Decision support,4.0,4.0,4.0,5.0,3.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time, lot of independence to  work.   -Good colleagues / people around who put the company first  - dynamic environment - lots of challenging assignments,culture where late sitting  and working long hours is perceived as hard work.   Premium given to outsiders  who seem to fit well basis CV / JD but may not be culturally fit
"May 14, 2018",Manager,4.0,5.0,5.0,5.0,3.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Amazing company to work with,Stunted salary growth is a negative
"January 11, 2016",A WIP Management Trainee Program,3.0,1.0,2.0,3.0,4.0,3.0,,I worked at Bharti Airtel ,"If you are at the right time at the right place, you can get a really good project/role. There are instances of big budget projects being handled by young employees.","The trainee program was not very stable with trainees being shuttled out of the regular career path for short term requirements. I believe, the program is much more structured these days."
"July 27, 2020",Best place to join fresh out of top tier B Schools,5.0,4.0,5.0,5.0,4.0,4.0,Current Employee - Young Leader Program,I have been working at Bharti Airtel full-time for more than a year,Fast Career growth  Good salary  Friendly and approachable environment,You can be posted anywhere
"July 24, 2020",Bharti airtel,4.0,1.0,3.0,4.0,3.0,4.0,Current Employee - Field Service Engineer,I have been working at Bharti Airtel full-time for less than a year,"Work presure No, good Organisation for knowledge gain","Petrol allowence No, no timings"
"July 21, 2020",good place to work,4.0,4.0,4.0,4.0,4.0,4.0,Former Employee - Senior Engineer,I worked at Bharti Airtel full-time,"work culture, nice incentives, bonuses",No cons I can remember
"July 19, 2020",Interview,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Customer Service Manager,I have been working at Bharti Airtel full-time for more than 5 years,Tele Calling Job For 24x7 Customer Care Work,Private Limited Company High Grow Business Opportunities
"July 17, 2020",Good,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Bharti Airtel,I worked at Bharti Airtel part-time for less than a year,Good service and excellent work,Anything I can do for any issue N work hard...
"July 16, 2020",Good,5.0,3.0,5.0,5.0,5.0,5.0,Current Employee - General Manager - SCM,I have been working at Bharti Airtel full-time,Good company to work for,Nothing specific as a cons
"July 16, 2020",Good Company to work for,5.0,4.0,3.0,4.0,4.0,4.0,Former Employee - Senior Executive,I worked at Bharti Airtel full-time for more than 10 years,"Airtel is a good and productive company to work with, HR team is very supportive and always give importance to their employees. Reporting managers and top management are very transparent and easy to accessible for any support and queries.",Too much office politics at times
"July 15, 2020",2,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Supervisor,I worked at Bharti Airtel full-time for more than a year,Best company is Bharti Airtel,Yes I am agree this challenge this good company is Bharti Airtel
"July 13, 2020",Good,4.0,3.0,1.0,3.0,3.0,2.0,Former Employee - Network Engineer,I worked at Bharti Airtel full-time for more than a year,Good place to work  Provided wfh in such pandemic times,Not that a good place to work
"July 11, 2020","Co. is excellent, but leadership is week now a days",5.0,1.0,1.0,2.0,3.0,1.0,Current Employee - Manager,I have been working at Bharti Airtel full-time,"Co. is excellent, but leadership is week now a days","No Work life Balance in shared service, as leadership is week"
"July 10, 2020",My perspective,4.0,5.0,5.0,,,,Former Employee - Digital Marketing Intern,I worked at Bharti Airtel full-time for less than a year,Experience in workplace environment and line of communication,Outside the field I like to excel in
"July 24, 2020",Nice,3.0,3.0,3.0,3.0,3.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Nice job i really love to have work there,Time was not fixed and very far from house
"July 23, 2020",Good,3.0,2.0,3.0,3.0,3.0,3.0,Current Employee - Software Engineer,I have been working at Bharti Airtel full-time for less than a year,"Salary and all are good,but Managerial pressure for work is very high","Being a indian company ,less work-life balance."
"July 22, 2020",Good,3.0,2.0,2.0,3.0,4.0,3.0,Former Employee - Territory Sales Manager,I worked at Bharti Airtel full-time for less than a year,We get Good exposure and it's really challenging job type,"Work balance life, work culture"
"July 21, 2020",Hierarchy and Learning,3.0,3.0,3.0,3.0,4.0,2.0,Current Employee - Product Designer,I have been working at Bharti Airtel full-time,You'll get time to learn new things.,Less visibility - There are too many people in the team so it will become difficult for you and the team to keep track of what everyone else is working on.
"July 5, 2020",Better career growth,5.0,,,,,,Current Employee - Territory Manager,I have been working at Bharti Airtel full-time,Employee growth if you are performing well,Unethical working condition and no respect to manager
"July 3, 2020",Good,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Manager,I have been working at Bharti Airtel full-time for more than 3 years,"Good work, cross functional movements, good hr policies",Too much office politics at times
"July 2, 2020",Very good,5.0,,,,,,Former Employee - Zonal Customer Service,I worked at Bharti Airtel full-time,It's my dream job because I love to work with this organization,Due to my position is closed that's why I leave this jobs
"July 11, 2020",E3 Lead Engineer @ Airtel X Labs,3.0,1.0,4.0,3.0,5.0,2.0,Current Employee - Lead Software Engineer,I have been working at Bharti Airtel full-time for more than a year,"Latest tools and technology to work upon  Great exposure to scalable applications with high volumes  Complete involvement from requirements, design, develop, test, deploy and maintenance.  Flexible in work hours, WFH, leaves.",Highly volatile business priorities leads to mismanagement  poor work-life balance  Management/Leadership policies changes volatile
"July 14, 2020",12 + experience in Project management,3.0,,,,,,Current Employee - Project Manager,I have been working at Bharti Airtel full-time,I am a quick learner and can adapt to any type of pressure situation easily,At sometimes I will be doing the work prior to the task completion date which might be a issue
"June 29, 2020",postpaid marketing manager,4.0,3.0,3.0,3.0,3.0,3.0,Current Employee - Product Manager,I have been working at Bharti Airtel full-time for more than a year,exposure to all levels of data analytics,transparency not given to down level employees
"July 13, 2020","Switching Network Operation Center (NOC/ SOC), Team lead, Surveillance, Incident and Problem Management.",3.0,,,,,,Current Employee - Assistant NOC Manager,I have been working at Bharti Airtel full-time,"good place to work, good place to work,",Salary is very low. Salary is very low.
"July 13, 2020",Territory Sales Manager,2.0,2.0,1.0,2.0,1.0,1.0,Current Employee - Territory Sales Manager,I have been working at Bharti Airtel full-time for more than 5 years,Best Company to do work here,No Growth here in present time.
"July 11, 2020",Airtel payment Bank is very use full,3.0,2.0,3.0,3.0,3.0,4.0,Former Employee - Sales Associate,I worked at Bharti Airtel full-time,Customer’s Airtel mobile number will be his/her bank account number.,"I didn’t heard, someone has really been benefited with the accidental benefits. May be the rules are strong on this issue."
"June 26, 2020",Good oppurtunities,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Software Engineer,I have been working at Bharti Airtel full-time for less than a year,"Telco giant, Digital empowerment, New projects",Work life balance is okay not great
"July 8, 2020",Good for retirement,3.0,3.0,4.0,3.0,2.0,4.0,Current Employee - Network Engineer,I have been working at Bharti Airtel full-time for more than 3 years,No punch in punch out  Subsidized food  Office bus in Gurgaon,"Salary too less  There are some calling jobs, that might not be suitable for everyone  Have to travel to manesar everday"
"July 8, 2020",Security Department (SCG) is very good and helpful,3.0,4.0,3.0,4.0,2.0,4.0,Current Employee - IT Security Analyst,I have been working at Bharti Airtel full-time for less than a year,Very good manager and team which will help you whenever in need,Not many experienced people in team
"July 8, 2020",Not upto the mark,3.0,2.0,2.0,4.0,2.0,1.0,Current Employee - Retail Operations,I have been working at Bharti Airtel full-time,"Company is dependable, upper management is not",HR polices are of no use
